date,pm25,pm10,no2,so2,co
2020/11/3, 22, 17, 14, 2, 
2020/11/4, 33, 23, 10, 2, 
2020/11/5, 44, 15, 13, 3, 
2020/11/6, 29, 11, 9, 3, 
2020/11/7, 22, 10, 13, 3, 
2020/11/8, 21, 5, 9, 2, 
2020/11/9, 6, 8, 17, 2, 
2020/11/10, 15, 5, 20, 2, 
2020/11/11, 10, 4, 10, 2, 
2020/11/12, 5, 6, 17, 2, 
2020/11/13, 8, 7, 20, 2, 
2020/11/14, 7, 3, 12, 2, 
2020/11/15, 3, 83, 12, 2, 
2020/11/16, 12, 28, 16, 2, 
2020/11/17, 64, 67, 27, 4, 
2020/11/18, 120, 16, 23, 3, 
2020/11/19, 52, 6, 12, 2, 
2020/11/23, 23, 9, 36, 4, 
2020/11/24, 20, 5, 22, 3, 
2020/11/25, 15, 15, 11, 3, 
2020/11/26, 28, 15, 13, 3, 
2020/11/27, 29, 13, 12, 3, 
2020/11/28, 18, 6, 13, 3, 
2020/11/29, 14, 7, 17, 3, 
2020/11/30, 12, 13, 11, 2, 
2020/12/1, 36, 14, 10, 2, 
2020/12/2, 41, 24, 7, 3, 
2020/12/3, 110, 33, 11, 3, 
2020/12/4, 115, 32, 16, 3, 
2020/12/5, 71, 6, 7, 3, 
2020/12/6, 15, 4, 8, 3, 
2020/12/7, 9, 5, 16, 3, 
2020/12/8, 9, 9, 17, 3, 
2020/12/9, 21, 3, 12, 3, 
2020/12/10, 12, 5, 9, 2, 
2020/12/11, 29, 4, 9, 3, 
2020/12/12, 166, 6, 8, 3, 
2020/12/16, 137, 36, 22, 3, 
2020/12/17, 520, 14, 10, 3, 
2020/12/18, 37, 23, 23, 4, 
2020/12/19, 70, 15, 10, 3, 
2020/12/20, 43, 39, 21, 3, 
2020/12/21, 89, 35, 24, 3, 
2020/12/22, 66, 12, 30, 4, 
2020/12/23, 19, 5, 8, 3, 
2020/12/24, 9, 12, 5, 3, 
2020/12/25, 38, 8, 17, 3, 
2020/12/26, 17, 9, 5, 3, 
2020/12/27, 15, 10, 9, 3, 
2020/12/28, 27, 12, 24, 3, 
2020/12/29, 22, 10, 35, 3, 
2020/12/30, 20, 18, 22, 4, 
2020/12/31, 237, 69, 15, 4, 
2021/1/1, 601, 4, 7, 3, 
2021/1/2, 282, 4, 5, 3, 
2021/1/3, 184, 13, 13, 4, 
2020/8/3, 11, 7, 3, 1, 
2020/8/4, 14, 6, 2, 1, 
2020/8/5, 9, 7, 2, 1, 
2020/8/6, 10, 8, 5, 1, 
2020/8/7, 12, 7, 2, 2, 
2020/8/8, 9, 3, , 2, 
2020/8/9, 4, 5, 1, 2, 
2020/8/10, 4, 5, 2, 2, 
2020/8/11, 6, 10, 6, 2, 
2020/8/12, 13, 8, 6, 2, 
2020/8/13, 12, 12, 5, 2, 
2020/8/14, 19, 5, 2, 2, 
2020/8/15, 5, 7, 1, 2, 
2020/8/16, 11, 11, 4, 2, 
2020/8/17, 15, 14, 6, 2, 
2020/8/18, 29, 9, 8, 2, 
2020/8/19, 16, 9, 5, 1, 
2020/8/20, 11, 10, 7, 2, 
2020/8/21, 11, 9, 5, 1, 
2020/8/22, 11, 9, 7, 2, 
2020/8/23, 11, 10, 10, 2, 
2020/8/24, 12, 9, 7, 2, 
2020/8/25, 15, 8, 9, 2, 
2020/8/26, 7, 8, 7, 2, 
2020/8/27, 9, 8, 9, 2, 
2020/8/28, 12, 7, 4, 2, 
2020/8/29, 14, 3, , 1, 
2020/8/30, 5, , 1, 2, 
2020/8/31, 11, 7, 12, 1, 
2020/9/1, 11, 4, 10, 1, 
2020/9/2, 6, 6, 10, 1, 
2020/9/3, 8, 10, 7, 1, 
2020/9/4, 13, 7, 13, 2, 
2020/9/5, 7, 3, 9, 1, 
2020/9/6, 3, 8, 12, 1, 
2020/9/7, 11, 5, 11, 1, 
2020/9/8, 4, 8, 16, 2, 
2020/9/9, 11, 6, 11, 1, 
2020/9/10, 8, 6, 11, 1, 
2020/9/11, 5, 5, 11, 1, 
2020/9/12, 4, 4, 9, 1, 
2020/9/13, 2, 5, 12, 2, 
2020/9/14, 5, 7, 16, 2, 
2020/9/15, 9, 7, 11, 2, 
2020/9/16, 15, 12, 13, 2, 
2020/9/17, 25, 14, 13, 2, 
2020/9/18, 29, 19, 9, 2, 
2020/9/19, 44, 10, 8, 2, 
2020/9/20, 20, 12, 14, 2, 
2020/9/21, 21, 8, 12, 2, 
2020/9/22, 9, 17, 12, 1, 
2020/9/23, 6, 8, 10, 2, 
2020/9/24, 8, 9, 12, 2, 
2020/9/25, 13, 5, 9, 2, 
2020/9/26, 8, 7, 13, 2, 
2020/9/27, 12, 9, 15, 2, 
2020/9/28, 8, 7, 16, 2, 
2020/9/29, 8, 9, 19, 2, 
2020/9/30, 8, 7, 15, 2, 
2020/4/1, 75, 14, 4, , 
2020/4/2, 40, 28, 4, , 
2020/4/3, 83, 50, , 1, 
2020/1/1, 76, 7, 9, 2, 
2020/1/2, 13, 8, 18, 2, 
2020/1/3, 18, 8, 4, 1, 
2020/1/4, 29, 12, 7, 2, 
2020/1/5, 15, 12, 14, 2, 
2020/1/6, 23, 10, 4, 1, 
2020/1/7, 14, 18, 10, 1, 
2020/1/8, 32, 12, 8, 2, 
2020/1/9, 20, 8, 4, 1, 
2020/1/10, 8, 13, 11, 2, 
2020/1/11, 19, 3, 1, 1, 
2020/1/12, 7, 7, 7, 1, 
2020/1/13, 12, 10, 3, 1, 
2020/1/14, 10, 13, 40, 3, 
2020/1/15, 24, 9, 15, 2, 
2020/1/16, 12, 12, 38, 2, 
2020/1/17, 24, 8, 27, 2, 
2020/1/18, 10, 19, 3, 2, 
2020/1/19, 36, 15, 6, 2, 
2020/1/20, 15, 9, 17, 1, 
2020/1/21, 7, 8, 8, 2, 
2020/1/22, 15, 54, 4, 1, 
2020/1/23, 19, 13, 13, 1, 
2020/1/24, 16, 8, 8, 1, 
2020/1/25, 11, 5, 3, 2, 
2020/1/26, 8, 3, 5, 2, 
2020/1/27, 6, 5, 20, 2, 
2020/1/28, 14, 7, 35, 5, 
2020/1/29, 17, 7, 32, 1, 
2020/1/30, 17, 8, 39, 1, 
2020/1/31, 18, 5, 26, , 
2020/2/1, 13, 3, 14, , 
2020/2/2, 9, 7, 28, 1, 
2020/2/3, 17, 44, 11, , 
2020/2/4, 12, 3, 40, 4, 
2020/2/5, 8, 14, 4, 3, 
2020/2/6, 27, 9, 2, 2, 
2020/2/7, 19, 9, 5, 2, 
2020/2/8, 12, 8, 24, 2, 
2020/2/9, 18, 5, 3, 1, 
2020/2/10, 11, 19, 15, 1, 
2020/2/11, 33, 29, 19, 1, 
2020/2/12, 53, 10, 2, , 
2020/2/13, 49, 2, 1, , 
2020/2/14, 17, , , , 
2020/2/16, 7, 16, 9, , 
2020/2/17, 36, 31, 22, , 
2020/2/18, 48, 4, 7, , 
2020/2/19, 8, 7, 11, , 
2020/2/20, 16, 42, 16, , 
2020/2/21, 88, 43, 21, , 
2020/2/22, 65, 10, 7, , 
2020/2/23, 23, 8, 20, , 
2020/2/24, 10, 9, 19, , 
2020/2/25, 19, 8, 3, , 
2020/2/26, 32, 8, 2, , 
2020/2/27, 59, 3, 2, , 
2020/2/28, 7, 81, 24, , 
2020/2/29, 130, 13, 1, , 
2020/3/1, 204, 9, 2, , 
2020/3/5, 11, 6, 12, 1, 
2020/3/6, 16, 14, 3, , 
2020/3/7, 16, 36, 11, , 
2020/3/8, 26, 13, 2, , 
2020/3/9, 16, 12, 2, , 
2020/3/10, 18, 11, 7, , 
2020/3/11, 15, 21, 12, , 
2020/3/12, 29, 4, 10, , 
2020/3/13, 16, 7, 10, , 
2020/3/14, 10, 18, 6, , 
2020/3/15, 20, 7, 10, , 
2020/3/16, 16, 6, 7, 1, 
2020/3/17, 17, 4, 4, , 
2020/3/18, 9, 12, 8, , 
2020/3/19, 20, 4, 2, , 
2020/3/20, 14, 5, 5, , 
2020/3/26, 11, 14, 5, , 
2020/3/27, 12, 24, 8, 1, 
2019/10/1, 21, 5, , , 
2019/10/2, 11, 4, , , 
2019/10/3, 7, 25, , , 
2019/10/4, 15, 5, , , 
2019/10/5, 9, 13, , , 
